iter	Passed	Remaining
0	3	2854
1	5	2389
2	8	2309
3	11	2234
4	13	2177
5	16	2157
6	18	2132
7	21	2109
8	23	2090
9	26	2068
10	28	2051
11	31	2041
12	33	2023
13	35	2012
14	38	2006
15	40	1995
16	43	1984
17	45	1978
18	47	1969
19	50	1959
20	52	1949
21	54	1944
22	57	1939
23	59	1936
24	62	1931
25	64	1926
26	67	1923
27	69	1916
28	71	1910
29	74	1905
30	76	1901
31	79	1896
32	81	1891
33	83	1887
34	86	1882
35	88	1878
36	90	1874
37	93	1871
38	95	1865
39	98	1863
40	100	1857
41	102	1853
42	105	1850
43	107	1846
44	109	1842
45	112	1839
46	114	1834
47	116	1831
48	119	1828
49	121	1824
50	123	1820
51	126	1817
52	128	1813
53	131	1810
54	133	1807
55	135	1804
56	138	1801
57	140	1798
58	142	1794
59	145	1791
60	147	1789
61	150	1785
62	152	1781
63	154	1779
64	157	1777
65	159	1774
66	161	1772
67	164	1769
68	166	1766
69	169	1765
70	171	1762
71	173	1758
72	176	1757
73	178	1754
74	181	1751
75	183	1749
76	185	1746
77	188	1743
78	190	1741
79	193	1739
80	195	1736
81	198	1733
82	200	1731
83	202	1728
84	205	1725
85	207	1722
86	209	1720
87	212	1717
88	214	1714
89	217	1713
90	219	1710
91	221	1708
92	224	1705
93	226	1704
94	229	1701
95	231	1698
96	234	1696
97	236	1693
98	238	1690
99	241	1687
100	243	1685
101	245	1682
102	248	1680
103	250	1678
104	253	1675
105	255	1672
106	257	1670
107	260	1668
108	262	1667
109	265	1664
110	267	1662
111	270	1660
112	272	1658
113	275	1656
114	277	1654
115	280	1652
116	282	1650
117	285	1647
118	287	1645
119	290	1644
120	292	1642
121	295	1642
122	298	1640
123	300	1636
124	302	1633
125	306	1637
126	308	1634
127	310	1631
128	313	1628
129	315	1625
130	317	1622
131	320	1619
132	322	1616
133	324	1613
134	326	1610
135	329	1606
136	331	1603
137	333	1600
138	335	1596
139	337	1593
140	340	1589
141	342	1585
142	344	1582
143	346	1579
144	348	1576
145	351	1573
146	353	1569
147	355	1567
148	357	1563
149	360	1560
150	362	1557
151	364	1553
152	366	1549
153	368	1546
154	370	1543
155	373	1539
156	375	1536
157	377	1533
158	379	1529
159	381	1525
160	383	1522
161	385	1519
162	387	1515
163	390	1512
164	392	1509
165	394	1506
166	396	1503
167	398	1500
168	400	1497
169	403	1493
170	405	1490
171	407	1487
172	409	1484
173	411	1480
174	413	1476
175	415	1473
176	417	1469
177	419	1466
178	421	1462
179	423	1458
180	425	1455
181	427	1451
182	429	1448
183	431	1445
184	433	1441
185	435	1438
186	437	1435
187	439	1431
188	441	1428
189	443	1424
190	445	1420
191	447	1417
192	449	1413
193	451	1410
194	453	1406
195	455	1403
196	457	1400
197	459	1396
198	461	1393
199	463	1390
200	465	1386
201	467	1383
202	469	1379
203	471	1376
204	473	1373
205	475	1370
206	476	1366
207	479	1363
208	480	1360
209	482	1356
210	484	1353
211	486	1349
212	488	1346
213	490	1343
214	492	1340
215	494	1337
216	496	1333
217	498	1330
218	500	1327
219	502	1324
220	504	1321
221	506	1318
222	508	1315
223	510	1312
224	512	1309
225	514	1306
226	516	1302
227	518	1299
228	520	1296
229	522	1293
230	524	1291
231	526	1287
232	527	1284
233	529	1281
234	531	1278
235	533	1275
236	535	1272
237	537	1269
238	539	1266
239	541	1263
240	543	1260
241	545	1257
242	547	1254
243	549	1251
244	551	1249
245	553	1246
246	555	1242
247	557	1240
248	559	1237
249	561	1234
250	562	1231
251	564	1228
252	566	1225
253	568	1222
254	570	1220
255	572	1217
256	574	1214
257	576	1211
258	578	1208
259	580	1205
260	582	1203
261	584	1200
262	586	1197
263	588	1195
264	590	1192
265	592	1189
266	594	1186
267	596	1184
268	598	1181
269	600	1178
270	602	1175
271	604	1173
272	606	1170
273	608	1167
274	610	1164
275	612	1161
276	614	1159
277	615	1156
278	618	1154
279	619	1151
280	621	1148
281	623	1145
282	625	1143
283	627	1140
284	629	1137
285	631	1135
286	633	1132
287	635	1129
288	637	1127
289	639	1124
290	641	1121
291	643	1118
292	645	1116
293	647	1113
294	649	1111
295	651	1108
296	653	1105
297	655	1103
298	656	1100
299	658	1098
300	660	1095
301	662	1092
302	664	1090
303	666	1087
304	668	1084
305	670	1082
306	672	1079
307	674	1077
308	676	1074
309	677	1071
310	680	1069
311	682	1066
312	683	1064
313	686	1061
314	688	1060
315	690	1058
316	692	1055
317	694	1053
318	697	1051
319	698	1048
320	700	1045
321	702	1043
322	704	1040
323	706	1038
324	708	1035
325	710	1033
326	712	1031
327	714	1028
328	716	1026
329	719	1024
330	721	1022
331	723	1020
332	726	1018
333	728	1015
334	730	1013
335	732	1010
336	734	1008
337	736	1006
338	738	1004
339	740	1001
340	742	999
341	744	996
342	746	994
343	748	991
344	750	989
345	752	987
346	754	984
347	756	982
348	758	979
349	760	977
350	762	975
351	764	972
352	766	970
353	768	968
354	770	965
355	772	963
356	774	960
357	776	958
358	778	956
359	780	953
360	782	951
361	784	948
362	786	946
363	788	943
364	790	941
365	791	939
366	793	936
367	795	934
368	797	932
369	799	929
370	801	927
371	803	924
372	805	922
373	807	920
374	809	917
375	811	915
376	813	913
377	815	910
378	817	908
379	819	905
380	821	903
381	823	900
382	825	898
383	827	896
384	829	893
385	830	891
386	832	888
387	834	886
388	836	883
389	838	881
390	840	879
391	842	876
392	844	874
393	846	872
394	848	869
395	850	867
396	852	865
397	854	862
398	856	860
399	857	857
400	859	855
401	861	852
402	863	850
403	864	847
404	866	845
405	868	843
406	870	840
407	872	838
408	874	835
409	876	833
410	878	831
411	880	828
412	882	826
413	884	824
414	885	821
415	887	819
416	889	817
417	891	814
418	893	812
419	895	810
420	897	807
421	899	805
422	901	803
423	902	800
424	904	798
425	906	795
426	908	793
427	910	791
428	912	789
429	914	786
430	916	784
431	918	782
432	919	779
433	921	777
434	923	775
435	925	772
436	927	770
437	929	768
438	931	765
439	933	763
440	935	761
441	937	758
442	938	756
443	940	754
444	942	752
445	944	749
446	946	747
447	948	745
448	950	742
449	952	740
450	954	738
451	955	735
452	957	733
453	959	731
454	961	729
455	963	726
456	965	724
457	967	722
458	969	720
459	971	717
460	973	715
461	975	713
462	977	711
463	979	708
464	980	706
465	982	704
466	984	702
467	986	699
468	988	697
469	990	695
470	992	693
471	994	690
472	996	688
473	998	686
474	1000	684
475	1002	682
476	1004	679
477	1006	677
478	1007	675
479	1009	673
480	1011	671
481	1013	668
482	1015	666
483	1017	664
484	1019	662
485	1021	660
486	1023	657
487	1025	655
488	1027	653
489	1029	651
490	1031	648
491	1033	646
492	1034	644
493	1036	642
494	1038	640
495	1040	637
496	1042	635
497	1044	633
498	1046	631
499	1048	629
500	1050	626
501	1052	624
502	1054	622
503	1056	620
504	1058	618
505	1060	616
506	1062	613
507	1064	611
508	1066	609
509	1068	607
510	1069	605
511	1071	602
512	1073	600
513	1075	598
514	1077	596
515	1079	594
516	1081	591
517	1083	589
518	1085	587
519	1087	585
520	1089	583
521	1091	581
522	1093	579
523	1095	577
524	1097	575
525	1099	572
526	1101	570
527	1103	568
528	1105	566
529	1107	564
530	1109	562
531	1111	559
532	1113	557
533	1115	555
534	1117	553
535	1119	551
536	1121	549
537	1122	546
538	1124	544
539	1126	542
540	1128	540
541	1130	538
542	1132	536
543	1134	533
544	1136	531
545	1138	529
546	1140	527
547	1142	525
548	1144	523
549	1146	521
550	1148	518
551	1150	516
552	1152	514
553	1154	512
554	1156	510
555	1158	508
556	1160	506
557	1162	504
558	1164	502
559	1166	499
560	1168	497
561	1170	495
562	1173	493
563	1175	491
564	1177	489
565	1179	487
566	1181	485
567	1183	483
568	1185	481
569	1187	479
570	1189	477
571	1191	475
572	1193	472
573	1195	470
574	1197	468
575	1199	466
576	1201	464
577	1203	462
578	1205	460
579	1207	458
580	1209	456
581	1211	453
582	1213	451
583	1215	449
584	1217	447
585	1219	445
586	1221	443
587	1223	441
588	1225	438
589	1227	436
590	1229	434
591	1231	432
592	1233	430
593	1235	428
594	1237	426
595	1239	424
596	1241	422
597	1243	420
598	1245	417
599	1247	415
600	1249	413
601	1251	411
