issue_type,priority,image_id,image_path,label_path,label_line_index,label_line,gt_class_id,gt_class_name,pred_class_id,pred_class_name,pred_score,iou,gt_bbox_xyxy,pred_bbox_xyxy,suggested_action
class_confusion,0.921556,296,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00296.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00296.txt,118,21 0.153150 0.286045 0.043403 0.082011,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,39,KNEKKEBRØD RUNDA KANEL 330G WASA,0.889948,0.968968,"[530.0, 741.0, 705.0, 989.0]","[530.4, 739.1, 706.9, 986.3]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.911446,302,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00302.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00302.txt,108,21 0.649430 0.572421 0.030506 0.064153,21,KNEKKEBRØD RUNDA SESAM&HAVSALT 290G WASA,39,KNEKKEBRØD RUNDA KANEL 330G WASA,0.916479,0.903897,"[2557.0, 1634.0, 2680.0, 1828.0]","[2559.8, 1634.6, 2673.2, 1824.8]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.888862,195,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00195.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00195.txt,0,261 0.085518 0.322864 0.081149 0.103015,261,MÜSLI HASSELNØTT 600G AXA,260,MUSLI ENERGI 675G AXA,0.835625,0.968718,"[36.0, 216.0, 101.0, 298.0]","[36.6, 216.0, 100.9, 296.3]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.883869,26,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00026.jpeg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00026.txt,20,49 0.702515 0.527885 0.104076 0.137821,49,EVERGOOD DARK ROAST FILTERMALT 250G,347,EVERGOOD DARK ROAST PRESSMALT 250G,0.904077,0.853557,"[750.0, 716.0, 870.0, 931.0]","[763.1, 721.1, 868.4, 931.9]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.87369,251,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00251.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00251.txt,73,355 0.503375 0.078333 0.062250 0.079333,355,unknown_product,150,Sætre GullBar,0.841007,0.922714,"[1889.0, 116.0, 2138.0, 354.0]","[1878.6, 117.8, 2145.6, 353.1]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.863405,317,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00317.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00317.txt,67,355 0.656250 0.868552 0.042659 0.056548,355,unknown_product,150,Sætre GullBar,0.876001,0.844512,"[2560.0, 2541.0, 2732.0, 2712.0]","[2553.5, 2546.5, 2723.8, 2703.4]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.861791,12,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00012.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00012.txt,39,259 0.755625 0.631333 0.040250 0.066667,259,REGIA KAKAO ORIGINAL 260G,56,SJOKOLADEDRIKK 10PK 320G REGIA,0.831251,0.9076,"[2942.0, 1794.0, 3103.0, 1994.0]","[2949.9, 1793.5, 3101.6, 1987.1]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.847355,178,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00178.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00178.txt,45,261 0.873305 0.458362 0.083898 0.082582,261,MÜSLI HASSELNØTT 600G AXA,260,MUSLI ENERGI 675G AXA,0.810284,0.902961,"[981.0, 601.0, 1080.0, 720.0]","[986.7, 598.8, 1078.0, 719.5]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.828644,13,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00013.jpg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00013.txt,54,189 0.524625 0.640333 0.048250 0.037333,189,YELLOW LABEL TEA 25POS LIPTON,27,YELLOW LABEL TEA 50POS LIPTON,0.765995,0.922617,"[2002.0, 1865.0, 2195.0, 1977.0]","[1998.7, 1866.6, 2204.9, 1977.1]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
class_confusion,0.825383,183,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/images/img_00183.jpeg,/cluster/home/oskarjor/ainm/tasks/norgesgruppen-data/data/yolo/val/labels/img_00183.txt,40,61 0.038938 0.221065 0.077877 0.106151,61,MUSLI BLÅBÆR 630G AXA,315,4-KORN 675G AXA,0.75987,0.923653,"[-0.0, 508.0, 314.0, 829.0]","[0.1, 496.4, 314.1, 815.4]",Verify GT class vs sibling class; fix inconsistent SKU labeling first.
