Dato;Forklaring;Inn;Ut;Saldo
2026-01-18;Innbetaling fra Sánchez SL / Faktura 1001;8500.00;;108500.00
2026-01-19;Innbetaling fra Sánchez SL / Faktura 1002;7375.00;;115875.00
2026-01-22;Innbetaling fra Pérez SL / Faktura 1003;7875.00;;123750.00
2026-01-25;Innbetaling fra Romero SL / Faktura 1004;22937.50;;146687.50
2026-01-26;Innbetaling fra Romero SL / Faktura 1005;14250.00;;160937.50
2026-01-29;Betaling Proveedor González SL;;-10150.00;150787.50
2026-01-30;Betaling Proveedor Rodríguez SL;;-5800.00;144987.50
2026-02-02;Betaling Proveedor Rodríguez SL;;-18400.00;126587.50
2026-02-03;Bankgebyr;;-1083.95;125503.55
2026-02-05;Skattetrekk;1269.93;;126773.48
2026-02-07;Skattetrekk;;-600.07;126173.41
