Dato;Forklaring;Inn;Ut;Saldo
2026-01-18;Innbetaling fra Costa Lda / Faktura 1001;11300.00;;111300.00
2026-01-20;Innbetaling fra Martins Lda / Faktura 1002;18437.50;;129737.50
2026-01-21;Innbetaling fra Santos Lda / Faktura 1003;22375.00;;152112.50
2026-01-23;Innbetaling fra Santos Lda / Faktura 1004;9187.50;;161300.00
2026-01-24;Innbetaling fra Rodrigues Lda / Faktura 1005;30437.50;;191737.50
2026-01-25;Betaling Fornecedor Pereira Lda;;-13100.00;178637.50
2026-01-26;Betaling Fornecedor Ferreira Lda;;-12150.00;166487.50
2026-01-28;Betaling Fornecedor Pereira Lda;;-6550.00;159937.50
2026-01-30;Bankgebyr;1634.39;;161571.89
2026-01-31;Skattetrekk;;-318.44;161253.45
2026-02-01;Renteinntekter;95.14;;161348.59
