Dato;Forklaring;Inn;Ut;Saldo
2026-01-16;Innbetaling fra Moe AS / Faktura 1001;4200.00;;104200.00
2026-01-19;Innbetaling fra Johansen AS / Faktura 1002;14500.00;;118700.00
2026-01-22;Innbetaling fra Moe AS / Faktura 1003;5250.00;;123950.00
2026-01-25;Innbetaling fra Nilsen AS / Faktura 1004;13250.00;;137200.00
2026-01-27;Innbetaling fra Nilsen AS / Faktura 1005;16562.50;;153762.50
2026-01-29;Betaling Leverandor Ødegård AS;;-19650.00;134112.50
2026-01-30;Betaling Leverandor Moe AS;;-9950.00;124162.50
2026-01-31;Betaling Leverandor Hansen AS;;-18250.00;105912.50
2026-02-01;Bankgebyr;;-1795.86;104116.64
2026-02-03;Bankgebyr;;-610.21;103506.43
