Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra González SL / Faktura 1001;2550.00;;102550.00
2026-01-18;Innbetaling fra Rodríguez SL / Faktura 1002;9500.00;;112050.00
2026-01-19;Innbetaling fra Rodríguez SL / Faktura 1003;16062.50;;128112.50
2026-01-22;Innbetaling fra González SL / Faktura 1004;27812.50;;155925.00
2026-01-24;Innbetaling fra Torres SL / Faktura 1005;26000.00;;181925.00
2026-01-25;Betaling Proveedor Pérez SL;;-11100.00;170825.00
2026-01-27;Betaling Proveedor González SL;;-15850.00;154975.00
2026-01-28;Betaling Proveedor Martínez SL;;-6000.00;148975.00
2026-01-29;Skattetrekk;1142.33;;150117.33
2026-01-30;Skattetrekk;927.42;;151044.75
