Dato;Forklaring;Inn;Ut;Saldo
2026-01-17;Innbetaling fra Petit SARL / Faktura 1001;18562.50;;118562.50
2026-01-19;Innbetaling fra Bernard SARL / Faktura 1002;1975.00;;120537.50
2026-01-22;Innbetaling fra Bernard SARL / Faktura 1003;19687.50;;140225.00
2026-01-25;Innbetaling fra Petit SARL / Faktura 1004;24125.00;;164350.00
2026-01-27;Innbetaling fra Leroy SARL / Faktura 1005;16750.00;;181100.00
2026-01-29;Betaling Fournisseur Richard SARL;;-16350.00;164750.00
2026-01-30;Betaling Fournisseur Leroy SARL;;-5500.00;159250.00
2026-02-01;Betaling Fournisseur Dubois SARL;;-9850.00;149400.00
2026-02-03;Renteinntekter;;-713.36;148686.64
2026-02-05;Skattetrekk;;-672.11;148014.53
