method	path	tags	operationId	deprecated	summary
get	/accountantDashboard/news	accountantDashboard/news	AccountantDashboardNews_get	false	Get public news articles
get	/accountantDashboard/news/tags	accountantDashboard/news	AccountantDashboardNewsTags_getTags	false	Get all existing news tags
get	/accountingOffice/reconciliations/{reconciliationId}/control	accountingOffice/reconciliations/{reconciliationId}/control,accountingOffice/reconciliations	AccountingOfficeReconciliationsControl_get	false	Returns a list of reconciliation controls with the given reconciliationId
put	/accountingOffice/reconciliations/{reconciliationId}/control/:controlReconciliation	accountingOffice/reconciliations/{reconciliationId}/control/:controlReconciliation,accountingOffice/reconciliations	AccountingOfficeReconciliationsControlControlReconciliation_controlReconciliation	false	Mark a reconciliation as controlled
put	/accountingOffice/reconciliations/{reconciliationId}/control/:reconcile	accountingOffice/reconciliations/{reconciliationId}/control/:reconcile,accountingOffice/reconciliations	AccountingOfficeReconciliationsControlReconcile_reconcile	false	Mark a reconciliation as reconciled
put	/accountingOffice/reconciliations/{reconciliationId}/control/:requestControl	accountingOffice/reconciliations/{reconciliationId}/control/:requestControl,accountingOffice/reconciliations	AccountingOfficeReconciliationsControlRequestControl_requestControl	false	Request control of a reconciliation
get	/activity	activity	Activity_search	false	Find activities corresponding with sent data.
post	/activity	activity	Activity_post	false	Add activity.
get	/activity/>forTimeSheet	activity	ActivityForTimeSheet_getForTimeSheet	false	Find applicable time sheet activities for an employee on a specific day.
post	/activity/list	activity	ActivityList_postList	false	Add multiple activities.
get	/activity/{id}	activity	Activity_get	false	Find activity by ID.
get	/asset	asset	Asset_search	false	Find assets corresponding with sent data.
post	/asset	asset	Asset_post	false	Create one asset.
get	/asset/assetsExist	asset	AssetAssetsExist_getAssetsExist	false	Get if AssetOverview details is empty.
get	/asset/balanceAccountsSum	asset	AssetBalanceAccountsSum_balanceAccountsSum	false	Get balanceAccountsSum.
get	/asset/canDelete/{id}	asset	AssetCanDelete_canDelete	false	Validate delete asset
delete	/asset/deleteImport	asset	AssetDeleteImport_deleteImport	false	[BETA] Delete most recent assets import.
delete	/asset/deleteStartingBalance	asset	AssetDeleteStartingBalance_deleteStartingBalance	false	[BETA] Delete the asset starting balance.
post	/asset/duplicate/{id}	asset	AssetDuplicate_postDuplicate	false	Create copy of one asset
post	/asset/list	asset	AssetList_postList	false	Create several assets.
post	/asset/upload	asset	AssetUpload_upload	false	[BETA] Upload Excel file with Assets in the standard Tripletex defined format.
delete	/asset/{id}	asset	Asset_delete	false	Delete asset.
